,messagenumber,typeOfLevel,level,parameterName,nameOfFirstFixedSurface,nameOfSecondFixedSurface,shortNameECMF,shortName,nameECMF,name,cfNameECMF,cfName,cfVarNameECMF,cfVarName
1078,1079,atmosphere,0,Total cloud cover,Entire atmosphere,Missing,unknown,tcc,unknown,Total Cloud Cover,unknown,unknown,unknown,unknown
1079,1080,cloudCeiling,0,Geopotential height,Cloud ceiling,Missing,gh,gh,Geopotential Height,Geopotential Height,geopotential_height,geopotential_height,gh,gh
1080,1081,cloudBase,0,Geopotential height,Cloud base level,Missing,gh,gh,Geopotential Height,Geopotential Height,geopotential_height,geopotential_height,gh,gh
1081,1082,cloudBase,0,Pressure,Cloud base level,Missing,pres,pres,Pressure,Pressure,unknown,unknown,pres,pres
1082,1083,cloudTop,0,Pressure,Level of cloud tops,Missing,pres,pres,Pressure,Pressure,unknown,unknown,pres,pres
1083,1084,cloudTop,0,Geopotential height,Level of cloud tops,Missing,gh,gh,Geopotential Height,Geopotential Height,geopotential_height,geopotential_height,gh,gh
1084,1085,nominalTop,0,Upward long-wave radiation flux,Nominal top of the atmosphere,Missing,ulwrf,ulwrf,Upward long-wave radiation flux,Upward long-wave radiation flux,unknown,unknown,ulwrf,ulwrf
1085,1086,surface,0,Downward short-wave radiation flux,Ground or water surface,Missing,dswrf,dswrf,Downward short-wave radiation flux,Downward short-wave radiation flux,unknown,unknown,dswrf,dswrf
1086,1087,surface,0,Downward long-wave radiation flux,Ground or water surface,Missing,dlwrf,dlwrf,Downward long-wave radiation flux,Downward long-wave radiation flux,unknown,unknown,dlwrf,dlwrf
1087,1088,surface,0,8,Ground or water surface,Missing,uswrf,uswrf,Upward short-wave radiation flux,Upward short-wave radiation flux,unknown,unknown,uswrf,uswrf
